Date,Year,Week
03-Jan-21,2021,1
10-Jan-21,2021,2
17-Jan-21,2021,3
24-Jan-21,2021,4
31-Jan-21,2021,5
07-Feb-21,2021,6
14-Feb-21,2021,7
21-Feb-21,2021,8
28-Feb-21,2021,9
07-Mar-21,2021,10
14-Mar-21,2021,11
21-Mar-21,2021,12
28-Mar-21,2021,13
04-Apr-21,2021,14
11-Apr-21,2021,15
18-Apr-21,2021,16
25-Apr-21,2021,17
02-May-21,2021,18
09-May-21,2021,19
16-May-21,2021,20
23-May-21,2021,21
30-May-21,2021,22
06-Jun-21,2021,23
13-Jun-21,2021,24
20-Jun-21,2021,25
27-Jun-21,2021,26
04-Jul-21,2021,27
11-Jul-21,2021,28
18-Jul-21,2021,29
25-Jul-21,2021,30
01-Aug-21,2021,31
08-Aug-21,2021,32
15-Aug-21,2021,33
22-Aug-21,2021,34
29-Aug-21,2021,35
05-Sep-21,2021,36
12-Sep-21,2021,37
19-Sep-21,2021,38
26-Sep-21,2021,39
03-Oct-21,2021,40
10-Oct-21,2021,41
17-Oct-21,2021,42
24-Oct-21,2021,43
31-Oct-21,2021,44
07-Nov-21,2021,45
14-Nov-21,2021,46
21-Nov-21,2021,47
28-Nov-21,2021,48
05-Dec-21,2021,49
12-Dec-21,2021,50
19-Dec-21,2021,51
26-Dec-21,2021,52
02-Jan-22,2022,1
09-Jan-22,2022,2
16-Jan-22,2022,3
23-Jan-22,2022,4
30-Jan-22,2022,5
06-Feb-22,2022,6
13-Feb-22,2022,7
20-Feb-22,2022,8
27-Feb-22,2022,9
06-Mar-22,2022,10
13-Mar-22,2022,11
20-Mar-22,2022,12
27-Mar-22,2022,13
03-Apr-22,2022,14
10-Apr-22,2022,15
17-Apr-22,2022,16
24-Apr-22,2022,17
01-May-22,2022,18
08-May-22,2022,19
15-May-22,2022,20
22-May-22,2022,21
29-May-22,2022,22
05-Jun-22,2022,23
12-Jun-22,2022,24
19-Jun-22,2022,25
26-Jun-22,2022,26
03-Jul-22,2022,27
10-Jul-22,2022,28
17-Jul-22,2022,29
24-Jul-22,2022,30
31-Jul-22,2022,31
07-Aug-22,2022,32
14-Aug-22,2022,33
21-Aug-22,2022,34
28-Aug-22,2022,35
04-Sep-22,2022,36
11-Sep-22,2022,37
18-Sep-22,2022,38
25-Sep-22,2022,39
02-Oct-22,2022,40
09-Oct-22,2022,41
16-Oct-22,2022,42
23-Oct-22,2022,43
30-Oct-22,2022,44
06-Nov-22,2022,45
13-Nov-22,2022,46
20-Nov-22,2022,47
27-Nov-22,2022,48
04-Dec-22,2022,49
11-Dec-22,2022,50
18-Dec-22,2022,51
25-Dec-22,2022,52
01-Jan-23,2023,1
08-Jan-23,2023,2
15-Jan-23,2023,3
22-Jan-23,2023,4
29-Jan-23,2023,5
05-Feb-23,2023,6
12-Feb-23,2023,7
19-Feb-23,2023,8
26-Feb-23,2023,9
05-Mar-23,2023,10
12-Mar-23,2023,11
19-Mar-23,2023,12
26-Mar-23,2023,13
02-Apr-23,2023,14
09-Apr-23,2023,15
16-Apr-23,2023,16
23-Apr-23,2023,17
30-Apr-23,2023,18
07-May-23,2023,19
14-May-23,2023,20
21-May-23,2023,21
28-May-23,2023,22
04-Jun-23,2023,23
11-Jun-23,2023,24
18-Jun-23,2023,25
25-Jun-23,2023,26
02-Jul-23,2023,27
09-Jul-23,2023,28
16-Jul-23,2023,29
23-Jul-23,2023,30
30-Jul-23,2023,31
06-Aug-23,2023,32
13-Aug-23,2023,33
20-Aug-23,2023,34
27-Aug-23,2023,35
03-Sep-23,2023,36
10-Sep-23,2023,37
17-Sep-23,2023,38
24-Sep-23,2023,39
01-Oct-23,2023,40
08-Oct-23,2023,41
15-Oct-23,2023,42
22-Oct-23,2023,43
29-Oct-23,2023,44
05-Nov-23,2023,45
12-Nov-23,2023,46
19-Nov-23,2023,47
26-Nov-23,2023,48
03-Dec-23,2023,49
10-Dec-23,2023,50
17-Dec-23,2023,51
24-Dec-23,2023,52
