"model_name","variable_name","decomp_group","Date","value","value_tails"
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-10-29,162310.5038,162310.5038
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-10-22,138664.6837,138664.6837
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-01-15,48066.47864,48066.47864
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2022-04-10,56620.08173,56620.08173
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-01-22,49806.89889,49806.89889
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-10-15,121623.4796,121623.4796
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-01-08,46773.54077,46773.54077
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2022-04-03,48139.74063,48139.74063
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-07-04,192275.8242,192275.8242
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2022-04-17,107715.9568,107715.9568
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-11-05,116610.1231,116610.1231
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-10-08,117608.0436,117608.0436
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-06-27,132384.3067,132384.3067
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-04-04,116740.8009,116740.8009
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-07-11,253537.6797,253537.6797
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-01-29,43726.30843,43726.30843
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-01-01,33553.07538,33553.07538
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-03-28,185213.8791,185213.8791
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-03-07,102836.1524,102836.1524
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-04-11,106826.6257,106826.6257
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2022-04-24,231818.4069,231818.4069
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-11-12,99603.89653,99603.89653
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-11-28,75584.5238,75584.5238
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-11-07,99175.56372,99175.56372
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-03-14,119930.5831,119930.5831
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2022-03-27,93166.92029,93166.92029
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-02-05,70311.76747,70311.76747
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-10-31,117683.2837,117683.2837
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-12-12,253406.0168,253406.0168
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-07-18,222397.2324,222397.2324
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2021-06-20,140265.1758,140265.1758
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2022-05-01,171679.8675,171679.8675
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-11-19,58023.06762,58023.06762
"multiples_pna_glass_330ml_18_24pack","actuals","actuals",2023-10-01,113437.1721,113437.1721
