"model_name","variable_name","decomp_group","Date","value","value_tails"
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-01-10,85416.77905,85416.77905
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-01-03,69773.86792,69773.86792
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-12-05,58713.37988,58713.37988
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-10-31,59991.81982,59991.81982
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-10-10,57586.21826,57586.21826
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-11-07,61285.75879,61285.75879
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-03-21,103100.9795,103100.9795
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-07-10,95672.82129,95672.82129
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-10-17,63248.68164,63248.68164
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-07-03,89975.63965,89975.63965
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-04-11,117291.4248,117291.4248
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-08-07,87988.5406,87988.5406
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-11-14,61805.3208,61805.3208
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-07-31,63765.7605,63765.7605
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-08-28,62771.90148,62771.90148
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-02-28,93385.60693,93385.60693
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-12-12,70771.75684,70771.75684
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-10-03,61368.22168,61368.22168
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-09-26,62874.19922,62874.19922
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-03-13,66754.77881,66754.77881
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-10-02,69700.39819,69700.39819
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-10-09,56563.22,56563.22
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-01-17,84256.14307,84256.14307
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-10-24,66375.33911,66375.33911
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-01-31,89824.85645,89824.85645
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-02-07,91551.62573,91551.62573
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-11-28,58102.06006,58102.06006
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-11-21,59438.7793,59438.7793
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-02-21,101103.3962,101103.3962
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-09-04,51715.44091,51715.44091
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-09-11,54222.71838,54222.71838
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-12-19,81370.03906,81370.03906
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-06-06,115247.9307,115247.9307
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-12-26,48785.94116,48785.94116
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-03-28,132084.3789,132084.3789
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-07-17,79971.32077,79971.32077
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-10-16,51861.14061,51861.14061
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-01-24,85122.13184,85122.13184
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-04-18,133970.8687,133970.8687
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-08-14,80556.60129,80556.60129
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-02-14,94675.48413,94675.48413
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-05-09,124078.123,124078.123
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-11-27,52063.87848,52063.87848
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-03-07,102146.1794,102146.1794
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-03-14,104783,104783
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-09-18,62287.06142,62287.06142
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-12-18,77433.03913,77433.03913
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-03-20,59836.19824,59836.19824
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-06-20,89883.26172,89883.26172
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-01-09,41092.97974,41092.97974
"multiples_pna_glass_620ml_1pack","actuals","actuals",2023-04-30,58718.3396,58718.3396
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-10-30,63701.89852,63701.89852
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-11-06,69578.25788,69578.25788
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-02-06,41884.1001,41884.1001
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-08-21,78599.25813,78599.25813
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-11-20,55426.14191,55426.14191
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-02-27,58299.22168,58299.22168
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-05-23,121557.1992,121557.1992
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-12-11,54325.0206,54325.0206
"multiples_pna_glass_620ml_1pack","actuals","actuals",2023-04-02,74211.52267,74211.52267
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-06-13,116780.3765,116780.3765
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-01-02,38864.08191,38864.08191
"multiples_pna_glass_620ml_1pack","actuals","actuals",2021-04-04,110181.8154,110181.8154
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-07-24,61569.71992,61569.71992
"multiples_pna_glass_620ml_1pack","actuals","actuals",2022-10-23,54435.38038,54435.38038
